algorithm,params,accuracy,MCC,DisparateImpact
Kamishima-accuracy,{'eta': 1.0},0.8464292818778596,0.5639372992768592,0.3024449292291245
Kamishima-accuracy,{'eta': 1.0},0.8528943703998408,0.5815301302343792,0.2922840748690793
Kamishima-accuracy,{'eta': 1.0},0.8464292818778596,0.5745915868439274,0.28228405273976037
Kamishima-DisparateImpact,{'eta': 1.0},0.8495126317883429,0.57540095300916,0.31506913417482524
Kamishima-DisparateImpact,{'eta': 1.0},0.8461308931768451,0.5703748882368009,0.27997791887944157
Kamishima-DisparateImpact,{'eta': 1.0},0.8462303560771832,0.5612742687940137,0.3185688327420611
Kamishima-DisparateImpact,{'eta': 1.0},0.8491147801869903,0.5739275846397719,0.28665965736903953
Kamishima-DisparateImpact,{'eta': 1.0},0.8456335786751542,0.5605219483609277,0.28672997964688396
Kamishima-DisparateImpact,{'eta': 1.0},0.8504077978913865,0.5807411210597121,0.30517585342239195
Kamishima-DisparateImpact,{'eta': 1.0},0.8424507658643327,0.5652431777968899,0.2998875707006685
Kamishima-DisparateImpact,{'eta': 1.0},0.8464292818778596,0.5639372992768592,0.3024449292291245
Kamishima-DisparateImpact,{'eta': 1.0},0.8528943703998408,0.5815301302343792,0.2922840748690793
Kamishima-DisparateImpact,{'eta': 1.0},0.8464292818778596,0.5745915868439274,0.28228405273976037
Feldman-SVM,{'lambda': 1.0},0.8342948080366024,0.5086105198553393,0.29788957257670146
Feldman-SVM,{'lambda': 1.0},0.8221603341953452,0.4746694591660935,0.306385730988333
Feldman-SVM,{'lambda': 1.0},0.8381738611497911,0.5245101871836244,0.31094911297852473
Feldman-SVM,{'lambda': 1.0},0.8301173662223991,0.4981014680919384,0.34672351885098746
Feldman-SVM,{'lambda': 1.0},0.838671175651482,0.5265711491330153,0.3387218643124155
Feldman-SVM,{'lambda': 1.0},0.8258404615078576,0.4869118284986662,0.3103703589873977
Feldman-SVM,{'lambda': 1.0},0.8341953451362641,0.5242772256229964,0.2634772549230397
