algorithm,params,accuracy,MCC,DisparateImpact
Feldman-GaussianNB,{'lambda': 1.0},0.8191764471851999,0.5135838855140198,0.40616822713980605
Feldman-GaussianNB,{'lambda': 1.0},0.826636164710563,0.5200920280924226,0.40934649506435083
Feldman-GaussianNB,{'lambda': 1.0},0.821563556793316,0.5176567800038665,0.41465221917058437
Feldman-GaussianNB,{'lambda': 1.0},0.8206683906902725,0.5326499027373285,0.4342767029774931
Feldman-GaussianNB,{'lambda': 1.0},0.8246469067037995,0.5070298075637684,0.41024468576467343
Feldman-LR,{'lambda': 1.0},0.7630793713944699,0.19786355288802807,0.21768168233836288
Feldman-LR,{'lambda': 1.0},0.8298189775213846,0.5402007871902778,0.26414205415095726
Feldman-LR,{'lambda': 1.0},0.8009747364233141,0.4002984719147143,0.24612922889362998
Feldman-LR,{'lambda': 1.0},0.7667594987069823,0.19852773164304285,0.37985694721665547
Feldman-LR,{'lambda': 1.0},0.7600954843843246,0.1647663592196695,0.19546831850260818
Feldman-LR,{'lambda': 1.0},0.8315098468271335,0.5360637373158128,0.24909812996811967
Feldman-LR,{'lambda': 1.0},0.791227372190173,0.35470262955539034,0.26308818403624956
Feldman-LR,{'lambda': 1.0},0.7613885020887209,0.1704262980410959,0.27110773003905897
Feldman-LR,{'lambda': 1.0},0.783170877262781,0.28636234512870345,0.28512107512558227
Feldman-LR,{'lambda': 1.0},0.7976924607121544,0.38031904100112907,0.2291197406468665
Feldman-DecisionTree,{'lambda': 1.0},0.7664611100059677,0.27841056123995184,0.6932111603613162
Feldman-DecisionTree,{'lambda': 1.0},0.7955042769047146,0.4582705559040298,0.46356704022064904
Feldman-DecisionTree,{'lambda': 1.0},0.763775611696837,0.28973980510894,0.503051962813562
Feldman-DecisionTree,{'lambda': 1.0},0.7800875273522976,0.3294670078170922,0.7507339158718782
Feldman-DecisionTree,{'lambda': 1.0},0.764869703600557,0.2670837285751689,0.6987310031972931
Feldman-DecisionTree,{'lambda': 1.0},0.7909289834891585,0.4270205162726987,0.49052877137398576
Feldman-DecisionTree,{'lambda': 1.0},0.7572110602745176,0.3132669792857016,0.47222796038641474
Feldman-DecisionTree,{'lambda': 1.0},0.7553212651680923,0.23267653990739845,0.6960801536396969
Feldman-DecisionTree,{'lambda': 1.0},0.7865526158742789,0.3578356362230156,0.6514472265623173
Feldman-DecisionTree,{'lambda': 1.0},0.7723294211259201,0.30575445452235744,0.7018565222402415
Feldman-SVM-DisparateImpact,{'lambda': 0.7},0.7826735627610901,0.3144479294682639,0.6477891512644641
Feldman-SVM-DisparateImpact,{'lambda': 0.9},0.7669584245076586,0.26475897449045377,0.8262259187241622
Feldman-SVM-DisparateImpact,{'lambda': 0.85},0.7733240501293017,0.28053855840219316,0.5354523354550401
Feldman-SVM-DisparateImpact,{'lambda': 0.8},0.7811816192560175,0.2921641943620687,0.7906546232166225
Feldman-SVM-DisparateImpact,{'lambda': 0.65},0.7989854784165507,0.3839392734939147,0.3622237766602004
Feldman-SVM-DisparateImpact,{'lambda': 0.7},0.8005768848219614,0.3806166585644253,0.3663330860496687
Feldman-SVM-DisparateImpact,{'lambda': 0.9},0.770638551820171,0.2620841057047686,0.7682846954370134
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.7820767853590611,0.30605486333198856,0.47936840387335433
Feldman-SVM-DisparateImpact,{'lambda': 0.45},0.8357867515416749,0.5083923865832691,0.3031615538871747
Feldman-SVM-DisparateImpact,{'lambda': 0.95},0.7667594987069823,0.23287237214602485,0.6060378492039652
Feldman-SVM-accuracy,{'lambda': 0.8},0.7820767853590611,0.31248652883005146,0.44746268782961374
Feldman-SVM-accuracy,{'lambda': 0.8},0.7757111597374179,0.30956432500742176,0.5559507113875536
Feldman-SVM-accuracy,{'lambda': 0.8},0.7796896757509449,0.31307881408274746,0.5175477214489711
Feldman-SVM-accuracy,{'lambda': 0.8},0.7793912870499303,0.28214209598959994,0.7776767064214002
Feldman-SVM-accuracy,{'lambda': 0.8},0.7963994430077581,0.3756548001908441,0.31738805814631144
Feldman-SVM-accuracy,{'lambda': 0.8},0.7965983688084345,0.3655268561764637,0.2801468831170667
Feldman-SVM-accuracy,{'lambda': 0.8},0.7749154565347125,0.28345556656185583,0.7753527209904981
Feldman-SVM-accuracy,{'lambda': 0.8},0.7913268350905113,0.3486878017581677,0.39168878228028986
Feldman-SVM-accuracy,{'lambda': 0.8},0.8001790332206087,0.3686817152809937,0.32800954064552745
Feldman-SVM-accuracy,{'lambda': 0.8},0.7881440222796897,0.34708129348712785,0.4162347865411848
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.75},0.823751740600756,0.5394815754071354,0.3643971900782214
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.820370001989258,0.5276571577633995,0.40228150125845374
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.75},0.8257409986075194,0.5297848923355237,0.3539401104778119
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.8218619454943307,0.5313601360351866,0.4199921911993154
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.45},0.8131092102645713,0.5484670730009367,0.3548109554018058
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.45},0.811816192560175,0.5513593938662028,0.3555609047760738
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.4},0.8148000795703203,0.5559253679386936,0.35346620429577824
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.45},0.8102247861547642,0.5528096488649906,0.3555133129592029
