algorithm,params,accuracy,MCC,DisparateImpact,CV
Kamishima-DisparateImpact,{'eta': 1.0},0.5897435897435898,0.177724459981644,0.0,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.7435897435897436,0.5522311464689714,0.19411764705882356,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.6153846153846154,0.21957751641342005,0.17948717948717946,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.6923076923076923,0.41475753100312657,0.08695652173913045,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.6410256410256411,0.3016246734088948,0.5333333333333333,1.0
Feldman-SVM,{'lambda': 1.0},0.6153846153846154,0.3301478222570352,0.7999999999999999,1.0
Feldman-SVM,{'lambda': 1.0},0.8461538461538461,0.670820393249937,0.8142857142857143,1.0
Feldman-SVM,{'lambda': 1.0},0.6410256410256411,0.3126786864167696,1.142857142857143,1.0
Feldman-SVM,{'lambda': 1.0},0.6153846153846154,0.21957751641342008,0.7692307692307693,1.0
Feldman-SVM,{'lambda': 1.0},0.7948717948717948,0.6342703292561558,0.7653061224489794,1.0
Feldman-SVM,{'lambda': 1.0},0.5641025641025641,0.1400718345903303,2.1568627450980395,1.0
Feldman-SVM,{'lambda': 1.0},0.6153846153846154,0.3,0.9243697478991597,1.0
Feldman-SVM,{'lambda': 1.0},0.6666666666666666,0.3273268353539885,1.0,1.0
Feldman-SVM,{'lambda': 1.0},0.6410256410256411,0.2721794126179663,2.0,1.0
Feldman-SVM,{'lambda': 1.0},0.46153846153846156,-0.11884984845689814,0.8727272727272728,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.9487179487179487,0.9008852329229012,0.8,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.8717948717948718,0.7335607766528132,0.9500000000000001,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.7948717948717948,0.5846695269740968,0.8571428571428572,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.717948717948718,0.3932832531035577,1.0,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.8205128205128205,0.6546536707079774,1.1160714285714286,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.9487179487179487,0.9023778112773574,0.9705882352941178,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.7692307692307693,0.5192621227991824,1.2941176470588234,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.8461538461538461,0.6904761904761905,0.9333333333333333,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.8205128205128205,0.6507936507936506,1.0,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.717948717948718,0.34642857142857153,1.2000000000000002,1.0
Feldman-LR,{'lambda': 1.0},0.6666666666666666,0.37771739130434795,0.8533333333333333,1.0
Feldman-LR,{'lambda': 1.0},0.7948717948717948,0.5804870718988591,0.8444444444444446,1.0
Feldman-LR,{'lambda': 1.0},0.717948717948718,0.4054653794259672,0.888888888888889,1.0
Feldman-LR,{'lambda': 1.0},0.5384615384615384,0.02500000000000001,0.5,1.0
Feldman-LR,{'lambda': 1.0},0.5641025641025641,0.11968254418558669,0.5494505494505494,1.0
Feldman-LR,{'lambda': 1.0},0.8461538461538461,0.7293833011524189,0.8627450980392157,1.0
Feldman-LR,{'lambda': 1.0},0.38461538461538464,-0.24333213169614398,1.4379084967320261,1.0
Feldman-LR,{'lambda': 1.0},0.5897435897435898,0.21821789023599236,1.0,1.0
Feldman-LR,{'lambda': 1.0},0.6666666666666666,0.3412698412698412,1.4999999999999998,1.0
Feldman-LR,{'lambda': 1.0},0.5384615384615384,0.11884984845689818,0.9142857142857143,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7948717948717948,0.628052878750925,0.7466666666666667,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.8205128205128205,0.6424675480244514,0.9500000000000001,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7692307692307693,0.542850610110208,0.7142857142857144,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.717948717948718,0.3932832531035577,1.0,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7948717948717948,0.6086409915171401,1.2755102040816326,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.9743589743589743,0.9498713802919554,0.8235294117647058,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7692307692307693,0.5006939628599935,1.2941176470588238,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7948717948717948,0.5936696126824721,1.1666666666666667,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.6666666666666666,0.34126984126984117,1.4999999999999998,1.0
Feldman-DecisionTree,{'lambda': 1.0},0.7948717948717948,0.5398777456939359,0.6857142857142857,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.9},0.6666666666666666,0.44309312987128396,0.9411764705882352,1.0
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.8461538461538461,0.670820393249937,0.8142857142857143,1.0
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.6410256410256411,0.3126786864167696,1.142857142857143,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.85},0.6666666666666666,0.28735244660769554,0.8,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.95},0.7692307692307693,0.5916079783099617,0.8928571428571428,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.8},0.7435897435897436,0.5290679070852693,1.0784313725490198,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.95},0.6666666666666666,0.4083333333333334,0.9243697478991597,1.0
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.6666666666666666,0.3273268353539885,1.0,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.85},0.6410256410256411,0.27348301713730944,1.2,1.0
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.46153846153846156,-0.11884984845689814,0.8727272727272728,1.0
Feldman-SVM-accuracy,{'lambda': 0.8},0.7692307692307693,0.5630532705768136,0.9846153846153847,1.0
Feldman-SVM-accuracy,{'lambda': 0.95},0.9230769230769231,0.8367027121812316,0.7125,1.0
Feldman-SVM-accuracy,{'lambda': 0.8},0.7948717948717948,0.5734146386569554,1.0,1.0
Feldman-SVM-accuracy,{'lambda': 0.75},0.7435897435897436,0.45427041191657797,0.8,1.0
Feldman-SVM-accuracy,{'lambda': 0.85},0.7692307692307693,0.5916079783099617,0.8928571428571428,1.0
Feldman-SVM-accuracy,{'lambda': 0.75},0.7435897435897436,0.5290679070852693,0.7394957983193278,1.0
Feldman-SVM-accuracy,{'lambda': 0.85},0.6923076923076923,0.41475753100312657,1.1764705882352942,1.0
Feldman-SVM-accuracy,{'lambda': 0.75},0.7692307692307693,0.5476190476190476,0.875,1.0
Feldman-SVM-accuracy,{'lambda': 0.75},0.7692307692307693,0.5476190476190476,1.0,1.0
