name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.85,0,0.835820896,1,0.738095238,0.869047619,0.715937244,0.994897959,0.994897959,0.997252747,0.75,0.897435897,0.823717949,0.835714286,0.835714286,0.852564103,0.852564103,1,1,1,1,1,1,1,0.65,0.818181818,0.734090909,0.794444444,0.794444444,0.831818182,0.831818182,0.35,0.181818182,0.265909091,1.925,1.925,1.168181818,1.168181818,0,0,1,1,1,1,1,0.533333333,0.80952381,0.671428571,0.658823529,0.658823529,0.723809524,0.723809524,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.95,1,0.925373134,0.8,0.978723404,0.889361702,0.81891286,1.032258065,1.032258065,1.008064516,0.967741935,0.888888889,0.928315412,1.088709677,1.088709677,1.078853047,1.078853047,1,0.692307692,0.846153846,1.444444444,1.444444444,1.307692308,1.307692308,0.958333333,1,0.979166667,0.958333333,0.958333333,0.958333333,0.958333333,0.041666667,0,0.020833333,0,1,1.041666667,1.041666667,0,0.307692308,0.153846154,0,1,0.692307692,0.692307692,0.875,1,0.9375,0.875,0.875,0.875,0.875,0,0.148148148,0.074074074,0,1,0.851851852,0.851851852
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.95,2,0.925373134,0.857142857,0.974358974,0.915750916,0.847968813,0.99047619,0.99047619,0.996428571,0.971428571,0.875,0.923214286,1.110204082,1.110204082,1.096428571,1.096428571,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,0.956521739,1,0.97826087,0.956521739,0.956521739,0.956521739,0.956521739,0.043478261,0,0.02173913,0,1,1.043478261,1.043478261,0,0.25,0.125,0,1,0.75,0.75,0.923076923,1,0.961538462,0.923076923,0.923076923,0.923076923,0.923076923,0,0.2,0.1,0,1,0.8,0.8
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.95,3,0.910447761,0.826086957,0.954545455,0.890316206,0.799002746,0.936639118,0.936639118,0.979500891,0.939393939,0.882352941,0.91087344,1.064646465,1.064646465,1.057040998,1.057040998,1,0.733333333,0.866666667,1.363636364,1.363636364,1.266666667,1.266666667,0.92,1,0.96,0.92,0.92,0.92,0.92,0.08,0,0.04,0,1,1.08,1.08,0,0.266666667,0.133333333,0,1,0.733333333,0.733333333,0.8,1,0.9,0.8,0.8,0.8,0.8,0,0.173913043,0.086956522,0,1,0.826086957,0.826086957
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.85,4,0.850746269,1,0.761904762,0.880952381,0.737711114,1.022569444,1.022569444,1.011648746,0.861111111,0.838709677,0.849910394,1.026709402,1.026709402,1.022401434,1.022401434,1,1,1,1,1,1,1,0.772727273,0.75,0.761363636,1.03030303,1.03030303,1.022727273,1.022727273,0.227272727,0.25,0.238636364,0.909090909,0.909090909,0.977272727,0.977272727,0,0,1,1,1,1,1,0.736842105,0.6875,0.712171053,1.071770335,1.071770335,1.049342105,1.049342105,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.95,5,0.940298507,1,0.902439024,0.951219512,0.884371993,0.997975709,0.997975709,0.999092559,0.894736842,1,0.947368421,0.894736842,0.894736842,0.894736842,0.894736842,1,1,1,1,1,1,1,0.84,1,0.92,0.84,0.84,0.84,0.84,0.16,0,0.08,0,1,1.16,1.16,0,0,1,1,1,1,1,0.764705882,1,0.882352941,0.764705882,0.764705882,0.764705882,0.764705882,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.9,6,0.865671642,1,0.763157895,0.881578947,0.763157895,0.984375,0.984375,0.991071429,0.84375,0.885714286,0.864732143,0.952620968,0.952620968,0.958035714,0.958035714,1,1,1,1,1,1,1,0.736842105,0.789473684,0.763157895,0.933333333,0.933333333,0.947368421,0.947368421,0.263157895,0.210526316,0.236842105,1.25,1.25,1.052631579,1.052631579,0,0,1,1,1,1,1,0.722222222,0.8,0.761111111,0.902777778,0.902777778,0.922222222,0.922222222,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.9,7,0.895522388,1,0.840909091,0.920454545,0.80293024,0.997975709,0.997975709,0.999092559,0.815789474,1,0.907894737,0.815789474,0.815789474,0.815789474,0.815789474,1,1,1,1,1,1,1,0.75,1,0.875,0.75,0.75,0.75,0.75,0.25,0,0.125,0,1,1.25,1.25,0,0,1,1,1,1,1,0.588235294,1,0.794117647,0.588235294,0.588235294,0.588235294,0.588235294,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.9,8,0.895522388,0.878787879,0.911764706,0.895276292,0.79125812,0.965073529,0.965073529,0.983035714,0.90625,0.885714286,0.895982143,1.023185484,1.023185484,1.020535714,1.020535714,1,0.80952381,0.904761905,1.235294118,1.235294118,1.19047619,1.19047619,0.85,1,0.925,0.85,0.85,0.85,0.85,0.15,0,0.075,0,1,1.15,1.15,0,0.19047619,0.095238095,0,1,0.80952381,0.80952381,0.8,1,0.9,0.8,0.8,0.8,0.8,0,0.222222222,0.111111111,0,1,0.777777778,0.777777778
two-gaussians,sensitive-attr,0.4,Feldman-SVM-accuracy,lambda=0.95,9,0.925373134,0.965517241,0.894736842,0.930127042,0.853313328,1.019157088,1.019157088,1.00907441,0.862068966,0.973684211,0.917876588,0.885368127,0.885368127,0.888384755,0.888384755,1,0.947368421,0.973684211,1.055555556,1.055555556,1.052631579,1.052631579,0.789473684,1,0.894736842,0.789473684,0.789473684,0.789473684,0.789473684,0.210526316,0,0.105263158,0,1,1.210526316,1.210526316,0,0.052631579,0.026315789,0,1,0.947368421,0.947368421,0.714285714,1,0.857142857,0.714285714,0.714285714,0.714285714,0.714285714,0,0.05,0.025,0,1,0.95,0.95
