,name,attribute,algorithm,params,run-id,DIbinary,DIavgall,CV,comparative-sensitive-TPR,accuracy,0-accuracy,1-accuracy,sensitive-accuracy,TNR,sensitive-TNR,comparative-sensitive-accuracy,BCR,sensitive-calibration+,sensitive-calibration-,TPR,sensitive-TPR,comparative-sensitive-TNR,MCC,comparative-sensitive-calibration+,comparative-sensitive-calibration-
34,propublica-recidivism,sex,DecisionTree,,4,0.7775628626692457,0.7775628626692457,0.8829715061058345,0.8704337899543378,0.6526946107784432,0.6212121212121212,0.6604477611940298,0.6408299412030756,0.6524390243902439,0.657103825136612,0.9607643600180914,0.6526901004304161,0.5882584712371947,0.3300020189783969,0.6529411764705882,0.6064497716894977,1.0191256830601092,0.3053363967724104,0.7864460204885737,0.9040985261457702
35,propublica-recidivism,sex,DecisionTree,,5,0.8700564971751413,0.8700564971751413,0.9291217257318952,1.0207526286662978,0.6017964071856288,0.6610169491525424,0.5890909090909091,0.6250539291217257,0.5680473372781065,0.6053921568627451,1.0719260400616333,0.6022054868208715,0.5969047619047618,0.34916129032258064,0.6363636363636364,0.6434698395130051,1.1225490196078431,0.2048411620663089,1.0204761904761903,0.8823225806451613
36,propublica-recidivism,sex,DecisionTree,,6,0.9855232486811436,0.9855232486811436,0.9925264424599404,0.95,0.5988023952095808,0.5614035087719298,0.6064981949458483,0.5839508518588891,0.5843373493975904,0.5714825069217216,0.9549053138260816,0.5987162937464143,0.5800578731613215,0.412046908315565,0.6130952380952381,0.5964285714285714,0.9604832620186255,0.19751759614584952,0.9433325295394259,1.033049040511727
37,propublica-recidivism,sex,DecisionTree,,7,0.7459016393442623,0.7459016393442623,0.8771392541884345,0.9618604651162792,0.5868263473053892,0.6557377049180327,0.5714285714285714,0.6135831381733021,0.6166666666666667,0.6666666666666667,1.0843091334894617,0.5843073593073593,0.5681818181818181,0.35597381342062195,0.551948051948052,0.5390697674418605,1.1666666666666663,0.1686147186147186,1.0454545454545454,0.9034369885433716
38,propublica-recidivism,sex,DecisionTree,,8,0.7513611615245009,0.7513611615245009,0.8801849075462269,0.8947368421052632,0.6347305389221557,0.6379310344827587,0.6340579710144928,0.6359945027486258,0.6858974358974359,0.7096774193548387,1.0038730634682658,0.637892538173437,0.6553884711779449,0.3854658854658855,0.5898876404494382,0.5526315789473684,1.0806451612903225,0.276023748028365,0.9273182957393484,0.9317709317709316
39,propublica-recidivism,sex,DecisionTree,,9,0.6400966183574879,0.6400966183574879,0.7962811047306535,0.6728462377317339,0.6646706586826348,0.5797101449275363,0.6867924528301886,0.6332512988788624,0.6342857142857142,0.6511649071714598,0.8929176920973476,0.666199460916442,0.5700000000000001,0.3209486166007905,0.6981132075471698,0.5921483097055616,1.063523844193666,0.3323989218328841,0.82,1.0853754940711462
40,propublica-recidivism,sex,Kamishima,eta=1.0,0,0.6426858513189448,0.6426858513189448,0.8146766169154229,0.8194444444444444,0.6736526946107785,0.6666666666666666,0.6753731343283582,0.6710199004975124,0.7025316455696202,0.7464421252371916,0.9912935323383084,0.6751294591484465,0.7161543492478744,0.3601127554615927,0.6477272727272727,0.5902777777777778,1.1541745730550286,0.3499758604090476,1.022236756049706,1.007047216349542
41,propublica-recidivism,sex,Kamishima,eta=1.0,1,0.6737030411449016,0.6737030411449016,0.8435230197311983,0.9027777777777778,0.6347305389221557,0.676923076923077,0.6245353159851301,0.6507291964541035,0.69375,0.7422857142857143,1.0523877609379468,0.6371048850574712,0.6904761904761905,0.3775974025974026,0.5804597701149425,0.5486111111111112,1.1725714285714286,0.2753994059396958,1.0476190476190477,0.9266233766233766
42,propublica-recidivism,sex,Kamishima,eta=1.0,2,0.4133118625872249,0.4133118625872249,0.7108465608465608,0.6580572711959574,0.6467065868263473,0.6111111111111112,0.6535714285714286,0.6323412698412698,0.6959064327485379,0.7750999000999002,0.9575396825396826,0.6454992286442076,0.6861001317523057,0.3783164100884376,0.5950920245398773,0.478663672094329,1.2355144855144855,0.29261968980419645,1.0823451910408433,1.0805764821487065
43,propublica-recidivism,sex,Kamishima,eta=1.0,3,0.5713289152424136,0.5713289152424136,0.7785984507295982,0.7821582733812951,0.6856287425149701,0.6885245901639344,0.6849816849816851,0.6867531375728098,0.7058823529411765,0.7524875621890548,1.0035429051822495,0.68525824964132,0.6773049645390071,0.3102536997885835,0.6646341463414634,0.5889208633093526,1.1616915422885572,0.370882507318731,0.9787234042553192,0.9841437632135306
44,propublica-recidivism,sex,Kamishima,eta=1.0,4,0.5934731934731935,0.5934731934731935,0.8028041610131162,0.8561643835616438,0.6796407185628742,0.7121212121212122,0.6716417910447762,0.6918815015829942,0.7378048780487805,0.7691256830601093,1.040479421076436,0.6806671449067432,0.6773279352226719,0.3160653715695344,0.6235294117647059,0.5719178082191779,1.128415300546448,0.3633930051175558,0.908502024291498,0.8785075547332717
45,propublica-recidivism,sex,Kamishima,eta=1.0,5,0.6905210295040803,0.6905210295040803,0.8480739599383667,0.8284449363586055,0.6407185628742516,0.6271186440677966,0.6436363636363637,0.6353775038520801,0.6745562130177515,0.7059937611408199,0.9834822804314328,0.6403084095391788,0.625925925925926,0.3616300366300366,0.6060606060606061,0.5473159933591588,1.1031639928698749,0.2813239180156098,0.948148148148148,0.9946886446886448
46,propublica-recidivism,sex,Kamishima,eta=1.0,6,0.5564483728404982,0.5564483728404982,0.7902337070112103,0.7714285714285714,0.6467065868263473,0.631578947368421,0.6498194945848376,0.6406992209766293,0.7108433734939759,0.7704505411527812,0.9817594527835836,0.6470883534136547,0.6987277353689567,0.3838878016960209,0.5833333333333334,0.5071428571428571,1.1832368487289202,0.2965252046349457,1.0692111959287531,1.0417482061317678
