name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.1,LR,,3,0.955223881,0.571428571,1,0.785714286,0.737711114,0,1,0.902439024,1,0.926829268,0.963414634,1.078947368,1.078947368,1.073170732,1.073170732,0,0.571428571,0.285714286,0,1,0.428571429,0.428571429,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.428571429,0.714285714,2.333333333,2.333333333,1.571428571,1.571428571,1,1,1,1,1,1,1,0,0.081081081,0.040540541,0,1,0.918918919,0.918918919
two-gaussians,sensitive-attr,0.1,LR,,4,0.940298507,0.2,1,0.6,0.433449868,0,1,0.96969697,0.970588235,0.909090909,0.939839572,1.067647059,1.067647059,1.061497326,1.061497326,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0.029411765,0.09375,0.061580882,0.31372549,0.31372549,0.935661765,0.935661765
two-gaussians,sensitive-attr,0.1,LR,,5,0.985074627,0.8,1,0.9,0.887300168,0.343434343,0.343434343,0.942067736,1,0.970588235,0.985294118,1.03030303,1.03030303,1.029411765,1.029411765,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.032258065,0.016129032,0,1,0.967741935,0.967741935
two-gaussians,sensitive-attr,0.1,LR,,6,0.940298507,0.428571429,1,0.714285714,0.633865691,0.546875,0.546875,0.974107143,0.96875,0.914285714,0.941517857,1.059570313,1.059570313,1.054464286,1.054464286,0.5,0.4,0.45,1.25,1.25,1.1,1.1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,0.6,0.55,0.833333333,0.833333333,0.9,0.9,1,1,1,1,1,1,1,0.032258065,0.090909091,0.061583578,0.35483871,0.35483871,0.941348974,0.941348974
two-gaussians,sensitive-attr,0.1,LR,,7,0.955223881,0.625,1,0.8125,0.771205592,0.822222222,0.822222222,0.985585586,1,0.918918919,0.959459459,1.088235294,1.088235294,1.081081081,1.081081081,1,0.5,0.75,2,2,1.5,1.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.5,0.25,0,1,0.5,0.5,1,1,1,1,1,1,1,0,0.088235294,0.044117647,0,1,0.911764706,0.911764706
two-gaussians,sensitive-attr,0.1,LR,,8,0.910447761,0.333333333,1,0.666666667,0.549621082,0,1,0.921052632,0.965517241,0.868421053,0.916969147,1.111807732,1.111807732,1.097096189,1.097096189,0,0.375,0.1875,0,1,0.625,0.625,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.625,0.8125,1.6,1.6,1.375,1.375,1,1,1,1,1,1,1,0.034482759,0.142857143,0.088669951,0.24137931,0.24137931,0.891625616,0.891625616
two-gaussians,sensitive-attr,0.1,LR,,9,0.940298507,0.5,1,0.75,0.684290851,0.436781609,0.436781609,0.95553539,0.965517241,0.921052632,0.943284936,1.048275862,1.048275862,1.04446461,1.04446461,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0.035714286,0.085714286,0.060714286,0.416666667,0.416666667,0.95,0.95
two-gaussians,sensitive-attr,0.1,DecisionTree,,0,0.985074627,0.875,1,0.9375,0.927586474,0.772727273,0.772727273,0.973262032,1,0.970588235,0.985294118,1.03030303,1.03030303,1.029411765,1.029411765,1,0.8,0.9,1.25,1.25,1.2,1.2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.2,0.1,0,1,0.8,0.8,1,1,1,1,1,1,1,0,0.033333333,0.016666667,0,1,0.966666667,0.966666667
two-gaussians,sensitive-attr,0.1,DecisionTree,,1,1,1,1,1,1,0.618181818,0.618181818,0.943850267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,DecisionTree,,2,1,1,1,1,1,0.457142857,0.457142857,0.898214286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
